Number:0, mass:1, radius:0.01
time,x,y,z,x_,y_,z_
23.1, 0.228151, 0.887877, 0.724736, 4.56346e+07, 1.14705e+07, 8.53278e+06
23.2, 0.948565, 0.185786, 0.577516, -6.04322e+08, 9.86277e+08, 2.27813e+07
23.3, 0.807442, 0.730189, 0.0350517, -6.04322e+08, 9.86277e+08, 2.27813e+07
23.4, 0.777236, 0.561345, 0.914785, -6.04322e+08, 9.86277e+08, 2.27813e+07
23.5, 0.705249, 0.648454, 0.0311597, -6.04322e+08, 9.86277e+08, 2.27813e+07
23.6, 0.26743, 0.647564, 0.672223, -6.04322e+08, 9.86277e+08, 2.27813e+07
23.7, 0.893639, 0.503934, 0.14075, -6.04322e+08, 9.86277e+08, 2.27813e+07
23.8, 0.826837, 0.777212, 0.168688, -6.04324e+08, 9.86258e+08, 2.28112e+07
23.9, 0.911948, 0.368187, 0.437375, -6.04324e+08, 9.86258e+08, 2.28112e+07
24, 0.658143, 0.475448, 0.770166, -6.04325e+08, 9.86255e+08, 2.28143e+07
24.1, 0.232371, 0.498189, 0.0308352, -6.04325e+08, 9.86255e+08, 2.28143e+07
24.2, 0.115954, 0.959599, 0.726765, -6.04317e+08, 9.86266e+08, 2.28174e+07
24.3, 0.44343, 0.921458, 0.718391, -6.04317e+08, 9.86266e+08, 2.28174e+07
24.4, 0.61409, 0.295333, 0.843592, -6.04342e+08, 9.86267e+08, 2.28231e+07
24.5, 0.257625, 0.931489, 0.626165, -6.04342e+08, 9.86267e+08, 2.28231e+07
24.6, 0.973706, 0.458991, 0.560418, -6.04342e+08, 9.86267e+08, 2.28231e+07
24.7, 0.888149, 0.583484, 0.0393079, -6.04342e+08, 9.86267e+08, 2.28234e+07
24.8, 0.321346, 0.226152, 0.973278, -6.04342e+08, 9.86267e+08, 2.28234e+07
24.9, 0.297711, 0.234821, 0.291613, -6.04342e+08, 9.86267e+08, 2.28234e+07
25, 0.35855, 0.535408, 0.632164, -6.04342e+08, 9.86267e+08, 2.28235e+07
25.1, 0.185923, 0.097736, 0.380439, -6.04341e+08, 9.86266e+08, 2.2823e+07
25.2, 0.5267, 0.313921, 0.264201, -6.04341e+08, 9.86266e+08, 2.28232e+07
25.3, 0.599087, 0.182049, 0.635209, -6.04341e+08, 9.86266e+08, 2.28232e+07
25.4, 0.540709, 0.750168, 0.0317755, -6.0434e+08, 9.86266e+08, 2.28229e+07
25.5, 0.388789, 0.589412, 0.287961, -6.0434e+08, 9.86266e+08, 2.28229e+07
25.6, 0.401744, 0.473216, 0.836818, -6.04338e+08, 9.86241e+08, 2.27846e+07
25.7, 0.221645, 0.122497, 0.884712, -6.04338e+08, 9.86241e+08, 2.27846e+07
25.8, 0.0315839, 0.111886, 0.672469, -6.04338e+08, 9.86241e+08, 2.27847e+07
25.9, 0.0692786, 0.275804, 0.38375, -6.04337e+08, 9.8624e+08, 2.27843e+07
26, 0.820384, 0.685259, 0.536378, -6.04337e+08, 9.8624e+08, 2.27843e+07
26.1, 0.739911, 0.037964, 0.390613, -6.04337e+08, 9.8624e+08, 2.27843e+07
26.2, 0.223925, 0.273276, 0.461022, -6.04337e+08, 9.8624e+08, 2.27843e+07
26.3, 0.760394, 0.548263, 0.472472, -6.04337e+08, 9.8624e+08, 2.27843e+07
26.4, 0.169337, 0.793993, 0.609027, -6.04337e+08, 9.8624e+08, 2.27843e+07
26.5, 0.603624, 0.721894, 0.609428, -6.04337e+08, 9.8624e+08, 2.27843e+07
26.6, 0.283623, 0.279781, 0.144808, -6.04339e+08, 9.86239e+08, 2.27831e+07
26.7, 0.418193, 0.589037, 0.60293, -6.04339e+08, 9.86239e+08, 2.27831e+07
26.8, 0.380621, 0.788745, 0.214806, -6.04339e+08, 9.86239e+08, 2.27831e+07
26.9, 0.424811, 0.814251, 0.170549, -6.04332e+08, 9.86242e+08, 2.27789e+07
27, 0.648009, 0.667655, 0.0509553, -6.04332e+08, 9.86242e+08, 2.27789e+07
27.1, 0.336821, 0.717554, 0.859511, -6.04332e+08, 9.86242e+08, 2.27789e+07
27.2, 0.976665, 0.792938, 0.712147, -6.04332e+08, 9.86242e+08, 2.27789e+07
27.3, 0.493391, 0.765971, 0.518321, -6.04332e+08, 9.86242e+08, 2.2779e+07
27.4, 0.150737, 0.887272, 0.0857058, -6.04332e+08, 9.86242e+08, 2.2779e+07
27.5, 0.0101412, 0.672882, 0.0513101, -6.04334e+08, 9.86242e+08, 2.27784e+07
27.6, 0.706988, 0.343015, 0.979427, -6.15188e+08, 9.88431e+08, 2.72877e+07
27.7, 0.0392404, 0.720877, 0.762957, -6.15188e+08, 9.88431e+08, 2.72877e+07
27.8, 0.969329, 0.735797, 0.783298, -6.15188e+08, 9.88431e+08, 2.72877e+07
27.9, 0.661176, 0.803881, 0.762942, -6.15188e+08, 9.88431e+08, 2.72877e+07
28, 0.637989, 0.701368, 0.167272, -6.1519e+08, 9.88429e+08, 2.72838e+07
28.1, 0.209798, 0.613024, 0.96949, -6.1519e+08, 9.88429e+08, 2.72838e+07
28.2, 0.894522, 0.681101, 0.13298, -6.15225e+08, 9.88281e+08, 2.75126e+07
28.3, 0.100896, 0.807279, 0.330167, -6.15225e+08, 9.88281e+08, 2.75126e+07
28.4, 0.285845, 0.778637, 0.533295, -6.15225e+08, 9.88281e+08, 2.75126e+07
28.5, 0.718838, 0.700622, 0.849182, -6.15225e+08, 9.88281e+08, 2.75129e+07
28.6, 0.0248882, 0.251705, 0.540232, -6.15224e+08, 9.8828e+08, 2.75116e+07
28.7, 0.985539, 0.969916, 0.299611, -6.15219e+08, 9.88273e+08, 2.75081e+07
28.8, 0.570638, 0.558634, 0.228232, -6.15219e+08, 9.88273e+08, 2.75083e+07
28.9, 0.116437, 0.0648985, 0.817041, -6.15219e+08, 9.88273e+08, 2.75083e+07
29, 0.77878, 0.241904, 0.985153, -6.15219e+08, 9.88273e+08, 2.75078e+07
29.1, 0.558101, 0.727844, 0.575562, -6.15219e+08, 9.88273e+08, 2.75078e+07
29.2, 0.377794, 0.73547, 0.469307, -6.15232e+08, 9.88279e+08, 2.74908e+07
29.3, 0.4018, 0.590221, 0.481329, -6.15231e+08, 9.88281e+08, 2.74898e+07
29.4, 0.545684, 0.959287, 0.911072, -6.15231e+08, 9.88279e+08, 2.74912e+07
29.5, 0.336707, 0.316721, 0.464066, -6.15236e+08, 9.88277e+08, 2.74932e+07
29.6, 0.127335, 0.516798, 0.559348, -6.15235e+08, 9.88279e+08, 2.74928e+07
29.7, 0.471813, 0.3161, 0.230273, -6.15235e+08, 9.88279e+08, 2.74928e+07
29.8, 0.863951, 0.0726747, 0.874703, -6.15235e+08, 9.88279e+08, 2.74928e+07
29.9, 0.0966064, 0.0333999, 0.260531, -6.15235e+08, 9.88279e+08, 2.74929e+07
30, 0.876708, 0.523683, 0.396654, -6.15235e+08, 9.88282e+08, 2.74912e+07
