Number:0, mass:1, radius:0.001
time,x,y,z
3.46, -1.52717e+07, 449340, 4.5669e+06
3.47, -1.49951e+07, 507271, 4.65223e+06
3.48, -1.47085e+07, 555202, 4.72757e+06
3.49, -1.44119e+07, 593132, 4.7929e+06
3.5, -1.41054e+07, 621063, 4.84823e+06
3.51, -1.37888e+07, 638994, 4.89357e+06
3.52, -1.34622e+07, 646925, 4.9289e+06
3.53, -1.31257e+07, 644856, 4.95423e+06
3.54, -1.27791e+07, 632786, 4.96957e+06
3.55, -1.24225e+07, 610717, 4.9749e+06
3.56, -1.20559e+07, 578648, 4.97023e+06
3.57, -1.16794e+07, 536579, 4.95557e+06
3.58, -1.12928e+07, 484510, 4.9309e+06
3.59, -1.08962e+07, 422440, 4.89623e+06
3.6, -1.04896e+07, 350371, 4.85157e+06
3.61, -1.00731e+07, 268302, 4.7969e+06
3.62, -9.64649e+06, 176233, 4.73223e+06
3.63, -9.20992e+06, 74163.6, 4.65757e+06
3.64, -8.76335e+06, -36783.6, 4.5729e+06
3.65, -8.30677e+06, -142153, 4.47823e+06
3.66, -7.8402e+06, -237522, 4.37357e+06
3.67, -7.36363e+06, -322891, 4.2589e+06
3.68, -6.87705e+06, -398260, 4.13423e+06
3.69, -6.38048e+06, -463630, 3.99957e+06
3.7, -5.87391e+06, -518999, 3.8549e+06
3.71, -5.35733e+06, -564368, 3.70023e+06
3.72, -4.83076e+06, -599737, 3.53557e+06
3.73, -4.29419e+06, -625106, 3.3609e+06
3.74, -3.74761e+06, -640476, 3.17623e+06
3.75, -3.19104e+06, -645845, 2.98157e+06
3.76, -2.62447e+06, -641214, 2.7769e+06
3.77, -2.04789e+06, -626583, 2.56223e+06
3.78, -1.46132e+06, -601952, 2.33757e+06
3.79, -864748, -567322, 2.1029e+06
3.8, -258175, -522691, 1.85823e+06
3.81, 354976, -468060, 1.60357e+06
3.82, 959849, -403429, 1.3389e+06
3.83, 1.55472e+06, -328798, 1.06423e+06
3.84, 2.1396e+06, -244168, 779567
3.85, 2.71447e+06, -149537, 484900
3.86, 3.27934e+06, -44905.9, 180233
3.87, 3.83422e+06, 66064.9, -132541
3.88, 4.37909e+06, 168596, -438508
3.89, 4.91396e+06, 261126, -734475
3.9, 5.43884e+06, 343657, -1.02044e+06
3.91, 5.95371e+06, 416188, -1.29641e+06
3.92, 6.45858e+06, 478719, -1.56237e+06
3.93, 6.95345e+06, 531250, -1.81834e+06
3.94, 7.43833e+06, 573780, -2.06431e+06
3.95, 7.9132e+06, 606311, -2.30027e+06
3.96, 8.37807e+06, 628842, -2.52624e+06
3.97, 8.83295e+06, 641373, -2.74221e+06
3.98, 9.27782e+06, 643904, -2.94817e+06
3.99, 9.71269e+06, 636434, -3.14414e+06
4, 1.01376e+07, 618965, -3.33011e+06
4.01, 1.05524e+07, 591496, -3.50607e+06
4.02, 1.09573e+07, 554027, -3.67204e+06
4.03, 1.13522e+07, 506558, -3.82801e+06
4.04, 1.17371e+07, 449088, -3.97397e+06
4.05, 1.21119e+07, 381619, -4.10994e+06
4.06, 1.24768e+07, 304150, -4.23591e+06
4.07, 1.28317e+07, 216681, -4.35187e+06
4.08, 1.31766e+07, 119212, -4.45784e+06
4.09, 1.35114e+07, 11742.5, -4.55381e+06
4.1, 1.38363e+07, -97536.7, -4.63977e+06
4.11, 1.41512e+07, -196906, -4.71574e+06
4.12, 1.4456e+07, -286275, -4.78171e+06
4.13, 1.47509e+07, -365644, -4.83767e+06
4.14, 1.50358e+07, -435013, -4.88364e+06
4.15, 1.53107e+07, -494383, -4.91961e+06
4.16, 1.55755e+07, -543752, -4.94558e+06
4.17, 1.58304e+07, -583121, -4.96154e+06
4.18, 1.60753e+07, -612490, -4.96751e+06
4.19, 1.63102e+07, -631859, -4.96348e+06
4.2, 1.6535e+07, -641229, -4.94944e+06
4.21, 1.67499e+07, -640598, -4.92541e+06
4.22, 1.69548e+07, -629967, -4.89138e+06
4.23, 1.71497e+07, -609336, -4.84734e+06
4.24, 1.73345e+07, -578705, -4.79331e+06
4.25, 1.75094e+07, -538075, -4.72928e+06
4.26, 1.76743e+07, -487444, -4.65524e+06
4.27, 1.78291e+07, -426813, -4.57121e+06
4.28, 1.7974e+07, -356182, -4.47718e+06
4.29, 1.81089e+07, -275551, -4.37314e+06
4.3, 1.82338e+07, -184921, -4.25911e+06
4.31, 1.83486e+07, -84289.9, -4.13508e+06
4.32, 1.84535e+07, 25741, -4.00104e+06
4.33, 1.85484e+07, 131472, -3.85701e+06
4.34, 1.86333e+07, 227203, -3.70298e+06
4.35, 1.87081e+07, 312933, -3.53894e+06
4.36, 1.8773e+07, 388664, -3.36491e+06
4.37, 1.88279e+07, 454395, -3.18088e+06
4.38, 1.88728e+07, 510126, -2.98684e+06
4.39, 1.89076e+07, 555857, -2.78281e+06
4.4, 1.89325e+07, 591587, -2.56878e+06
4.41, 1.89474e+07, 617318, -2.34474e+06
4.42, 1.89522e+07, 633049, -2.11071e+06
4.43, 1.89471e+07, 638780, -1.86668e+06
4.44, 1.8932e+07, 634511, -1.61264e+06
4.45, 1.89069e+07, 620241, -1.34861e+06
4.46, 1.88717e+07, 595972, -1.07458e+06
4.47, 1.88266e+07, 561703, -790542
4.48, 1.87715e+07, 517434, -496509
4.49, 1.87064e+07, 463165, -192476
4.5, 1.86312e+07, 398895, 119998
4.51, 1.85461e+07, 324626, 426131
4.52, 1.8451e+07, 240357, 722264
4.53, 1.83458e+07, 146088, 1.0084e+06
4.54, 1.82307e+07, 41818.6, 1.28453e+06
4.55, 1.81056e+07, -68418.6, 1.55066e+06
4.56, 1.79705e+07, -169988, 1.8068e+06
4.57, 1.78253e+07, -261557, 2.05293e+06
