lnV;t
2.50399824004352;366.064
2.50311486943667;367.064
2.5021488123478;368.064
2.5011326270524;369.063
2.50027133941524;370.063
2.49926145809308;371.063
2.49833278122641;372.063
2.4973703212032;373.063
2.49636574287689;374.063
2.49546735538071;375.063
2.49452689316499;376.064
2.49353597648605;377.063
2.49263504201562;378.064
2.49165880261053;379.063
2.49073132007926;380.064
2.48978639112728;381.063
2.48889037089029;382.063
2.4879436999455;383.064
2.48697118383688;384.063
2.48604766524887;385.064
2.48508163447729;386.063
2.4841563683973;387.064
2.48312172442275;388.064
2.48223642123212;389.063
2.4812666998674;390.063
2.48037975216427;391.063
2.47939984848493;392.063
2.47836865694825;393.063
2.47733640095783;394.064
2.4764207461377;395.064
2.47545377851463;396.063
2.47442692883262;397.064
2.47355917671936;398.063
2.47252194157457;399.064
2.47151741266898;400.063
2.47051187367033;401.064
2.46958994567611;402.063
2.46862481721372;403.064
2.46765875637845;404.064
2.46672570685065;405.064
2.46580877409606;406.063
2.46486549404617;407.063
2.46386175119225;408.064
2.46289107573032;409.063
2.46193651122048;410.064
2.46100663967195;411.063
2.46004173068705;412.063
2.45905023524277;413.063
2.45819470805755;414.063
2.45716710835419;415.064
2.45620706164961;416.064
2.4551860011167;417.063
2.45418108380896;418.064
2.45322676630993;419.064
2.45234902222783;420.063
2.45138433653716;421.063
2.45043597067278;422.063
2.44946943682926;423.064
2.4485019678942;424.064
2.4476027650115;425.063
2.44665080433347;426.064
2.44568060328716;427.063
2.44470946003659;428.063
2.44379815589739;429.064
2.4428686384411;430.063
2.44199045006109;431.063
2.44107666357115;432.064
2.440144611814;433.064
2.43914190442026;434.063
2.43828662915277;435.064
2.43736945033034;436.064
2.4363377111464;437.063
2.4354362543137;438.064
2.43444634170434;439.064
2.43363967084367;440.063
2.43261285506687;441.064
2.43162893159295;442.064
2.43073201534173;443.064
2.42975504448953;444.063
2.42887407254436;445.064
2.42788646168855;446.064
2.42689787449321;447.063
2.42594366751695;448.063
2.42503278774757;449.064
2.4240856545249;450.063
2.42312875904586;451.063
2.42228628780633;452.064
2.42130990725993;453.064
2.42037701749981;454.063
2.41934538360275;455.063
2.41841956476564;456.064
2.41746614418597;457.063
2.41652073692154;458.063
2.41561909202817;459.064
2.41467193610555;460.064
2.4136970374312;461.064
2.41274805840762;462.063
2.41180714332075;463.063
2.41078457497073;464.063
2.40997654490397;465.064
2.40901503660989;466.063
2.40800760672995;467.063
2.40706221857773;468.064
2.40611593582094;469.063
2.40512363061471;470.063
2.40422971325608;471.063
2.40328074507471;472.064
2.40238517807122;473.064
2.40143445703621;474.064
2.4004556286518;475.063
2.39948491773401;476.063
2.39865861774011;477.064
2.39764069494163;478.064
2.39674006034278;479.064
2.39588416095886;480.064
2.39496370722869;481.064
2.39402415331083;482.064
2.39311111969342;483.064
2.39221553723084;484.063
2.39128254775533;485.063
2.39041280335957;486.064
2.38952396735542;487.064
2.38854258150492;488.063
2.38756023159003;489.063
2.38665966178095;490.063
2.38567545952614;491.063
2.3847087109942;492.064
2.38373180641353;493.064
2.38285546705732;494.064
2.38195064837479;495.063
2.3808600853329;496.063
2.37996271401539;497.063
2.37899968855969;498.064
2.37806355416995;499.064
2.37710797905908;500.064
2.3761329082892;501.064
2.37518478540839;502.064
2.37430092053565;503.063
2.37335105828737;504.063
2.37240029294292;505.063
2.37148596024874;506.063
2.37050538947803;507.063
2.36956126564355;508.063
2.36865369296375;509.063
2.36767970948193;510.063
2.3667329128178;511.063
2.36581338115114;512.063
2.3649117948618;513.063
2.36395296794119;514.063
2.36307794142287;515.063
2.36210793159962;516.063
2.3611181171797;517.063
2.36019340561436;518.062
2.35919224380534;519.063
2.35833195550845;520.063
2.35740466275815;521.063
2.35647650933786;522.063
2.3555854295557;523.063
2.35467457034381;524.063
2.3537723817632;525.063
2.35277427807719;526.063
2.3518703726688;527.062
2.35091800978468;528.062
2.34998381336392;529.062
2.34909647222801;530.062
2.34812235315566;531.062
2.34726204759855;532.062
2.34631485585537;533.062
2.34544341279595;534.062
2.34449449607126;535.062
2.34355427668144;536.062
2.34260356477635;537.062
2.34173849618976;538.062
2.34075717960757;539.062
2.33987124377997;540.062
2.33894595142761;541.062
2.3379908461246;542.063
2.33705415027462;543.063
2.33618426562446;544.062
2.3352749108167;545.062
2.3343162911555;546.062
2.33341493178648;547.062
2.33232834424324;548.063
