t (s),V (mV),,,lnV,t,,(lnV)^2,t^2,t*lnV
230.061,12.7611,,,2.54640148109759,230.061,,6.48416050293602,52928.063721,585.827671142794
231.062,12.7526,,,2.54573517238389,231.062,,6.48076756791241,53389.647844,588.222660401365
232.061,12.7434,,,2.54501349052012,232.061,,6.4770936669294,53852.307721,590.598375623589
233.061,12.7348,,,2.54433840355741,233.061,,6.47365791181708,54317.429721,592.986052671494
234.062,12.7264,,,2.54367857603123,234.062,,6.47030069816029,54785.019844,595.378494863023
235.061,12.7175,,,2.54297899771478,235.061,,6.46674218281848,55253.673721,597.755186181835
236.062,12.7089,,,2.54230253542929,236.062,,6.46330218165019,55725.267844,600.141021118509
237.061,12.6995,,,2.54156262261078,237.061,,6.45954056465221,56197.917721,602.505376878735
238.061,12.6903,,,2.5408379221088,238.061,,6.45585734642616,56673.039721,604.874416575143
239.062,12.6811,,,2.54011269603509,239.062,,6.45217250855866,57150.639844,607.244421339541
240.061,12.6733,,,2.53949741819408,240.061,,6.4490471370144,57629.283721,609.634289709089
241.061,12.6631,,,2.53869225246011,241.061,,6.444958352701,58110.405721,611.979693070287
242.062,12.6537,,,2.53794966252521,242.062,,6.44118848951183,58594.011844,614.341171210178
243.061,12.6449,,,2.53725397182652,243.061,,6.43765771754946,59078.649721,616.707487646126
244.062,12.6353,,,2.53649448412773,244.062,,6.43380426801042,59566.259844,619.061916785183
245.061,12.6264,,,2.53578986010257,245.061,,6.43023021459901,60054.893721,621.423198906596
246.061,12.617,,,2.5350451109456,246.061,,6.42645371452921,60546.015721,623.775735044386
247.061,12.6076,,,2.53429980672392,247.061,,6.42267551036091,61039.137721,626.126644549019
248.061,12.5988,,,2.53360157132676,248.061,,6.41913692222942,61534.259721,628.487739384887
249.062,12.5888,,,2.53280752977255,249.062,,6.41511398287252,62031.879844,630.82610898021
250.061,12.5799,,,2.5321003021151,250.061,,6.4115319399714,62530.503721,633.179533647205
251.062,12.5707,,,2.53136870919801,251.062,,6.4078275419068,63032.127844,635.530490868671
252.061,12.5626,,,2.53072414598662,252.061,,6.40456470307969,63534.747721,637.896858961533
253.061,12.5532,,,2.52997561315558,253.061,,6.40077660316195,64039.869721,640.238158640764
254.061,12.5437,,,2.52921854750574,254.061,,6.39694646104703,64546.991721,642.575793397855
255.061,12.5356,,,2.52857259643999,255.061,,6.39367937546726,65056.113721,644.94025502058
256.062,12.5259,,,2.52779850067681,256.062,,6.38976526002395,65567.747844,647.273139680307
257.061,12.5171,,,2.52709570944875,257.061,,6.38621272471428,66080.357721,649.617750166605
258.062,12.5078,,,2.52635244970121,258.062,,6.38245670011129,66595.995844,651.955565874793
259.061,12.4994,,,2.52568064315622,259.061,,6.37906271121401,67112.601721,654.305353096693
260.061,12.4899,,,2.52492031770031,260.061,,6.37522261073584,67631.723721,656.633302741461
261.062,12.4807,,,2.5241834511119,261.062,,6.37150209486719,68153.367844,658.968380114175
